,author,statement,source,date,target
0,Tom Kertscher,“NASA stopped exploring the ocean.”,Instagram posts,"January 30, 2023",pants-fire
1,Maria Ramirez,“The White House is now attempting to ban all gas ovens and burners.”,Sean Hannity,"• January 12,",false
2,Andy Nguyen,"Large machinery is “required to move 500,000 pounds of earth in order to get the minerals needed for one single Tesla car battery.”",Instagram posts,"December 13, 2022",false
3,Faithlyn Graham,West Virginia is poised to “receive $25M for 160 orphaned well clean-up projects across the state.”,Joe Manchin,"November 10, 2022",true
4,Kristin Hugo,“There are no greenhouse gas emissions in this photo” of cows grazing.,Instagram posts,"November 7, 2022",false
5,Kristin Hugo,"For climate change environmentalists, “not a single one of their predictions ever come true.”",Charlie Kirk,"October 25, 2022",false
6,Jessica Riley,"“More than half of the $739 billion tax increase (in the Inflation Reduction Act) will go to wasteful Green New Deal programs like tree equity, 'clean' garbage trucks, and studying cow farts.""",Citizens Against Government Waste,"October 25, 2022",barely-true
7,Kristin Hugo,"""In Germany, millions of solar panels are blanketed in snow and 30,000 wind turbines are sitting idle because there’s no wind.”",Instagram posts,"October 12, 2022",false
8,Louis Jacobson,“Tim Ryan when he ran for president two years ago … supported banning fracking both on public lands and generally speaking.”,J.D. Vance,"October 11, 2022",half-true
9,Yacob Reyes,"U.S. Sen. Marco Rubio ""has denied climate change.""",Val Demings,"October 11, 2022",half-true
10,Yacob Reyes,"Lee County, Florida, wasn't ""even in the cone"" of Hurricane Ian 72 hours before landfall.",Ron DeSantis,"October 4, 2022",barely-true
11,Yacob Reyes,"""The true meaning of Hurricane,"" or Her-ricane, is the spirit of ""the African woman who has been stolen.""",Facebook posts,"September 29, 2022",false
12,Gabrielle Settles,“All weather is artificially controlled.”,Instagram posts,"September 29, 2022",pants-fire
13,D.L. Davis,"""Democrats' radical green energy policies caused record gas prices. """,Ron Johnson,"September 16, 2022",barely-true
14,Michael Majchrowicz,"""Russia is becoming the first country to break ties with the Antarctic Treaty.""",Instagram posts,"September 14, 2022",pants-fire
15,Tori Gantz,"Joe Biden and Raphael Warnock ""are spending $1.5 billion on ‘urban forestry’ and raising taxes on those making under $200k to pay for it.”",Herschel Walker,"September 1, 2022",half-true
16,Michael Majchrowicz,"""Water-fueled car can travel from LA to NY on 22 gallons.""",Instagram posts,"August 31, 2022",false
17,Michael Majchrowicz,"Another continent may exist beneath Antarctica, which is also home to homicidal sea creature of unknown origin",Facebook posts,"August 30, 2022",pants-fire
18,Yacob Reyes,"""We also know (the Sierra Club) paid for those reporters"" at the Palm Beach Post.",Nikki Fried,"August 19, 2022",pants-fire
19,Laura Schulte,Says Republican U.S. Sen. Ron Johnson “called climate change ‘bull----’ during a record heatwave” and “raked in over $700k in fossil fuel cash.”,League of Conservation Voters,"August 19, 2022",true
20,Andy Nguyen,"""Bill Gates and AOC say that a cow emits more pollution than a car.""",Facebook posts,"August 15, 2022",false
21,Andy Nguyen,Electric cars in California are not sustainable as only 10% of their batteries are recyclable and the state can’t recycle them.,Instagram posts,"August 11, 2022",false
22,Kelly Smits,“We have more oil and gas permits than ever before right now.”,Mandela Barnes,"August 9, 2022",mostly-true
23,Yacob Reyes,"You can't pour water on flames from an electric car battery because “water makes lithium burn.""",Facebook posts,"July 29, 2022",false
24,Andy Nguyen,"""Plankton in the Atlantic Ocean is 90% gone.""",Instagram posts,"July 27, 2022",false
25,Ellie Borst,"""If every person on earth just recycled, stopped using plastic straws, and drove an electric car, 100 corporations would still produce 70% of total global emissions.""",Instagram posts,"July 22, 2022",false
26,Madison Czopek,Images of Plymouth Rock prove sea levels are not rising.,Facebook posts,"July 20, 2022",false
27,Madison Czopek,"“Drought is a lie” designed to limit farming, reduce the food supply and ultimately control Americans.",Facebook posts,"July 19, 2022",pants-fire
28,Samantha Putterman,Studies show plastics can help combat climate change.,Facebook posts,"May 26, 2022",half-true
29,Madison Czopek,The U.S. government’s inaction over buffalo killing that harmed Native American populations in the 1800s shows it is now “is creating food shortages” so that Americans are more “dependent on the government.”,Facebook posts,"May 19, 2022",false
30,Warren Fiske,“CO2 is not a pollutant.”,Suburban Virginia Republican Coalition,"May 12, 2022",false
31,Monique Curet,"Says photo shows ""one of Tesla's lithium supply mines where entire mountains are eliminated.""",Facebook posts,"May 11, 2022",false
32,Elizabeth Egan,“New York state has already lost 99% of its historic freshwater wetlands.”,Sean Ryan,"March 29, 2022",barely-true
33,Louis Jacobson,"“As soon as Biden took office, he eliminated all subsidies for fossil fuels.”",Bill O'Reilly,"March 17, 2022",barely-true
34,D.L. Davis,"Says President Joe Biden ""is trying to send taxpayer dollars to manufacturers overseas that do not abide by the same (carbon emission) standards we do at home.""",Glenn Grothman,"March 11, 2022",half-true
35,D.L. Davis,"""The US has made strides in reducing carbon emissions that other parts of the world have not.""",Glenn Grothman,"March 11, 2022",true
36,Monique Curet,"""Bill Gates hatches 'horribly stupid' plan to block out the sun""",Facebook posts,"February 25, 2022",false
37,Monique Curet,"""Since 2000, the Department of Defense and the Department of Energy have been spraying the entire United States sky with the toxic brew of chemicals and other biologic agents.""",Facebook posts,"February 2, 2022",pants-fire
38,Gabrielle Settles,Images show how climate change destroyed the Greenland ice sheet and harmed a polar bear from 2009 to 2019.,Facebook posts,"January 19, 2022",false
39,Jeff Cercone,Electric vehicles would not have fared well in the Virginia snowstorm traffic jam.,Facebook posts,"January 7, 2022",false
40,Gabrielle Settles,"""Polar bears have increased 400% in 45 years; whales are nearly fully recovered; extinctions are down 90% past century. Koalas are doing fine. If we could ban wind turbines we could save 85,000 birds of prey/yr in US alone.""",Facebook posts,"December 23, 2021",false
41,Duncan Slade,"The United States had 589 coal-fired plants 10 years ago, and “we're down to 504. … We are the only nation that has reduced our reliance (on) coal energy.""",Joe Manchin,"December 10, 2021",half-true
42,Monique Curet,Electric vehicles are more likely to fail in traffic jams.,Facebook posts,"December 9, 2021",false
43,Becca Schimmel,A chart shows China and India are leading in per capita carbon dioxide emissions.,Facebook posts,"December 2, 2021",half-true
44,Laura Schulte,"“Within two years, there were two 500-year (storm) events” in Wisconsin.",Tammy Baldwin,"November 30, 2021",mostly-true
45,Becca Schimmel,Keystone Pipeline was blocked by Obama on Warren Buffett’s behalf.,Facebook posts,"November 18, 2021",false
46,Gabrielle Settles,"""Bill Gates talked about using vaccines to control population growth” in an “unedited 2010 TED Talk video""",Bloggers,"October 11, 2021",false
47,Louis Jacobson,"“Were you aware the $3.5 Trillion Human Infrastructure package includes an animal agriculture tax of $2,600‼️ per head of cattle? $500 for swine!!!""",Facebook posts,"October 8, 2021",false
48,Jason Asenso,"“FDA approval means nothing when you realize the FDA also approves pesticides in our food!""",Facebook posts,"August 27, 2021",barely-true
49,Laura Schulte,"“A farm with 2,500 dairy cattle is similar in waste load to a city of 411,000 people.”",Jill Karofsky,"July 20, 2021",false
50,Andy Nguyen,"Photo shows an electric car charging station that uses ""12 gallons of diesel fuel per hour, and it takes three hours to fully charge a car to get 200 miles. That's 36 gallons for 200 miles. 5.6 mpg.""",Facebook posts,"July 19, 2021",false
51,Kiannah Sepeda-Miller,“Prairie State power plant is the cleanest coal-fired power plant in the nation.”,Rodney Davis,"June 27, 2021",pants-fire
52,Jon Greenberg,The Biden administration “ignores the negative environmental impact created by lithium mining.”,Chuck Grassley,"June 9, 2021",false
53,Tom Kertscher,Says a photo shows a “lithium mine for hybrid cars.”,Facebook posts,"May 26, 2021",false
54,Tom Kertscher,Says photos show a “boneyard” of electric cars abandoned in France because the cars’ batteries were too expensive to replace.,Facebook posts,"May 17, 2021",false
55,Andy Nguyen,"""Manufacturing the battery for one electric car produces the same amount of carbon dioxide as running a petrol car for eight years.""",Viral image,"May 11, 2021",barely-true
56,Jon Greenberg,"With the goal to preserve 30% of the earth’s land and water by 2030, “300 million people stand to lose their land and livelihood, most of them tribal and indigenous peoples.”",Survival International,"May 7, 2021",barely-true
57,Warren Fiske,"The Green New Deal “costs an average American household almost $700,000 through 2029.”",Ben Cline,"May 5, 2021",false
58,Bill McCarthy,"""Biden's climate requirements"" will ""cut 90% of red meat from diet"" to a ""max 4 lbs per year"" and ""one burger per month.""",Fox News Channel,"April 26, 2021",pants-fire
59,Tom Kertscher,Two photos show climate change “is a hoax.”,Facebook posts,"April 21, 2021",false
60,Michael Majchrowicz,Image of expansive pit shows a lithium mine.,Viral image,"March 31, 2021",false
61,Nusaiba Mizan,"The shutdown of the Keystone Pipeline project will mean “nearly 2,000 (union jobs lost) with Wisconsin companies”",Ron Johnson,"February 26, 2021",mostly-true
62,Laura Schulte,"“Nobody’s health is at risk right now” from PFAS contamination, as long as they are receiving bottled drinking water",Scott Manley,"February 19, 2021",false
63,Brandon Mulder,Says that Hurricane Harvey “dropped more water on Houston in five days than goes over Niagara Falls in a year.”,John Kerry,"February 5, 2021",false
64,D.L. Davis,"""In 2019, Republicans stripped $40 million from the budget for lead pipe replacement - because they thought it helped MKE too much.""",Chris Larson,"December 3, 2020",mostly-true
65,Morgan Akers,"“West Virginia is near last in the U.S.” rankings of education, clean drinking water, and child mortality.",Paula Jean Swearengin,"November 6, 2020",mostly-true
66,Monique Curet,“The Green New Deal would require that 99% of homes in the country be torn down and rebuilt more ‘energy efficient’ over a ten year period.”,Instagram posts,"November 1, 2020",false
67,Amy Sherman,"“With regard to hurricanes, the National Oceanic (and Atmospheric) Administration tells us that actually, as difficult as they are, there are no more hurricanes today than there were 100 years ago.”",Mike Pence,"October 14, 2020",half-true
68,Bill McCarthy,Video from 2019 shows Kamala Harris “caught in a major lie” about fracking during the 2020 vice presidential debate.,Bloggers,"October 12, 2020",barely-true
69,Hayat Norimine,"Says Joe Biden’s website shows that he supports the Green New Deal, despite denials in debate.",TikTok posts,"October 8, 2020",half-true
70,Samantha Putterman,The man in a mugshot is “responsible for lighting 32 of the wildfires” on the West Coast.,Facebook posts,"September 21, 2020",false
71,Noah Y.,"“Here is the fire drone video that Twitter, Google, and YouTube didn't want us to see.”",Tweets,"• September 16,",false
72,Ciara O'Rourke,Map shows that wildfires stop at the US.-Canada border.,Viral image,"September 15, 2020",false
73,Noah Y.,"West Coast wildfires are due to “bad forest maintenance,” not climate change.",Facebook posts,"• September 15,",false
74,Noah Y.,Anti-poaching organizations dye elephant tusks and rhino horns with “the same pink dye that is used to mark stolen banknotes.”,Facebook posts,"• September 11,",false
75,Tom Kertscher,"Says Rep. Alexandria Ocasio-Cortez and Eugene DePasquale support ""socialized medicine,"" the Green New Deal and defunding the police.",Scott Perry,"September 10, 2020",false
76,Patrick Orsagos,The United Nations’ “new world order” agenda will create one world government with one world military and the end of national sovereignty.,Viral image,"July 24, 2020",false
77,Sophie Austin,"Says Joe Biden plans to “mandate net-zero carbon emissions for homes, offices and all new buildings by 2030. That basically means no windows, no nothing.”",Donald Trump,"July 17, 2020",false
78,Clara Hendrickson,"“Even so-called moderate Democrats like Joe Biden have endorsed a ban on fracking, which would eliminate 516,000 Michigan jobs and reduce the state’s gross domestic product by $159 billion over five years.”",Paul Junge,"June 19, 2020",barely-true
79,Laura Schulte,Says Donald Trump has opposed plans to clean up “Toxic chemicals that cause cancer (that) are in the water …. (and) put Wisconsin at risk.”,League of Conservation Voters,"June 12, 2020",half-true
80,Bill McCarthy,"""Bill Gates worked to end livestock production, and is pushing lab grown meat.""",Facebook posts,"May 18, 2020",half-true
81,Amy Sherman,"“Beachgoers trash Florida beaches with 13,000 pounds of litter after beaches reopen.”",Facebook posts,"May 18, 2020",mostly-true
82,Miriam Valverde,“Even President Trump’s own EPA has admitted that this rule (on air pollutants) threatens to cause serious health problems including brain damage and death and to inflict billions of dollars of economic damage on our struggling economy.”,Nancy Pelosi,"April 23, 2020",half-true
83,Tom Kertscher,Says to leave objects in the sun to avoid contracting the coronavirus.,Facebook posts,"March 27, 2020",false
84,Louis Jacobson,Says Nancy Pelosi’s coronavirus bill includes “tax credits for solar and wind energy … retirement plans for community newspaper employees … $300 million for PBS … climate change studies” and more.,Donald Trump,"March 24, 2020",mostly-true
85,Tom Kertscher,Says Joe Biden “just announced on CNN he will completely shut down drilling for oil and natural gas on day one of his administration.”,Facebook posts,"March 20, 2020",barely-true
86,Tom Kertscher,“Sen. Bernie Sanders led the effort to dump Vermont's nuclear waste on a poor Latino community in Texas.”,Facebook posts,"March 13, 2020",half-true
87,Louis Jacobson,"On key issues including taxes, health care, the Green New Deal, abortion, and guns, there is “no daylight between” Bernie Sanders and Joe Biden.",Republican National Committee,"March 10, 2020",half-true
88,Louis Jacobson,"Says Bernie Sanders would “go beyond reform and reorder the economy in ways most Democrats — let alone most Americans — don’t support.""",Pete Buttigieg,"February 25, 2020",barely-true
89,Warren Fiske,“America’s carbon emissions are being reduced at a rate far higher than any country in the world.”,Todd Gilbert,"February 24, 2020",false
90,Kiannah Sepeda-Miller,"“We’ve also seen in the time that he’s (Donald Trump) been president, an increase in carbon emissions going absolutely in the wrong way.”",Jan Schakowsky,"February 16, 2020",mostly-true
91,Nusaiba Mizan,"“Over the past two years, climate and weather disaster damage has cost the U.S. over $400 billion.”",Tammy Baldwin,"February 5, 2020",mostly-true
92,Emily Venezky,The typical anglerfish is seven feet long.,Viral image,"January 24, 2020",pants-fire
93,Rylee Wilson,"""The Machinists Union does not (support the USMCA trade deal). And every environmental organization in this country (also) opposes it.""",Bernie Sanders,"January 22, 2020",mostly-true
94,Louis Jacobson,"""FACT: Less than 1% of the trash in the ocean is from the United States.""",Young America's Foundation,"January 15, 2020",half-true
95,Amy Sherman,"""That’s 5,615 projected coal-powered plants in just 8 countries. The USA has 15 - building 0 more.""",Facebook posts,"January 13, 2020",false
96,Samantha Putterman,An image shows animals burning in the Australia wildfires,Viral image,"January 6, 2020",barely-true
97,Amy Sherman,"""China produces 90% of the world’s carbon emissions pollution.""",Facebook posts,"January 2, 2020",false
98,Bill McCarthy,"Says the Potomac River ""has gotten dirtier and dirtier and dirtier and dirtier. I go down there and that litter is left almost exclusively by immigrants.""",Tucker Carlson,"December 18, 2019",pants-fire
99,Chris Nichols,"""In Bakersfield, where there’s a lot of oil drilling going on, there’s more solar jobs now in Bakersfield and around that area than there are oil jobs.""",Arnold Schwarzenegger,"December 6, 2019",false
100,Minh Do,"China today is ""burning seven to eight times the amount of coal that we’re burning in the United States.""",Jim Justice,"December 4, 2019",mostly-true
101,Madison Czopek,"""14,000 abandoned wind turbines litter the United States.""",Chain email,"October 25, 2019",pants-fire
102,Glenn Kittle,"""A study shows that households neighboring West Virginia could be on the hook for upwards of $70,000 in the first year alone under the Green New Deal!""",Shelley Moore Capito,"October 8, 2019",barely-true
103,Amy Sherman,"The Green New Deal ""would put a $600,000 tax burden on every household.""",Republican Party of Florida,"September 27, 2019",false
104,Chris Nichols,"""Every time we go to court,"" against the Trump administration, ""for the most part, we win.""",Xavier Becerra,"September 25, 2019",mostly-true
105,Daniel Funke,"Says aquatic life near Alaska, Canada and Australia have been found with cancer and mutations as a result of the Fukushima nuclear disaster.",Facebook posts,"September 11, 2019",barely-true
106,Chris Nichols,"Says she ""sued Exxon Mobil"" as California attorney general.",Kamala Harris,"September 6, 2019",false
107,John Kruzel,"The Green New Deal ""would do away with commercial air travel.""",Andrew Yang,"September 6, 2019",false
108,Ciara O'Rourke,"""When two large whales do the nasty there’s sometimes this one bro who just sort of holds them up so they don’t float off.""",Viral image,"September 6, 2019",false
109,Ciara O'Rourke,"Says Alexandria Ocasio-Cortez tweeted, ""I see people are rushing out to fill up their cars for this hurricane at the gas station. This wouldn’t be an issue if they had electric cars. If the power is out for a week how are they going to get gas? We need to start planning ahead and moving forward.""",Viral image,"September 6, 2019",false
110,John Kruzel,"The Amazon rainforest fires are ""directly related to trade"" tensions between the United States and China.",John Delaney,"September 6, 2019",false
111,Madlin Mekelburg,"""The U.S. now leads the world in producing both oil and natural gas, and at the same time reducing energy-related emissions.""",Rick Perry,"August 27, 2019",half-true
112,Louis Jacobson,"""Trump is as destructive a person in this century as Hitler, Stalin, and Mao were in the last century. He may be responsible for many more million deaths than they were.""",Allen Frances,"August 26, 2019",pants-fire
113,Stefanie Pousoulides,"""Triggering leftists, Trump's reelection campaign is selling plastic straws.""",Bloggers,"July 23, 2019",true
114,Mica Soellner,"Republicans on the budget-writing committee ""did nothing"" to address oversight of
large-scale farms, ""as literal manure is coming out of people’s faucets.",Jimmy Anderson,"June 11, 2019",half-true
115,Elizabeth Gribkoff,"They understand the importance (of medical monitoring). It’s clear, though, that they want to do it in a way that is consistent with other states and S.37 just isn’t.",Heidi Scheuermann,"May 24, 2019",half-true
116,Samantha Putterman,"Says a photo of a park covered in trash was left behind by ""environmentalists"" after an Earth Day celebration in California.",Viral image,"May 21, 2019",false
117,Samantha Putterman,"Says a deer became ""riddled with tumors from eating plants sprayed with Monsanto’s Roundup.""",Viral image,"May 17, 2019",false
118,Shefali Luthra,"""We now have longitudinal data that shows that children born around Superfund sites have dramatically higher rates of birth defects, dramatically higher rates of autism.""",Cory Booker,"May 1, 2019",mostly-true
119,Kennedy Simone,"""All the ponds in Missouri for which we have data are causing groundwater contamination. … This is a statewide issue.""",Maxine Lipeles,"April 26, 2019",true
120,Ciara O'Rourke,A PETA activist was taped to a tree after protesting a biker rally.,Viral image,"April 22, 2019",pants-fire
121,Samantha Putterman,"Quotes Thomas Homer-Dixon as saying a windmill will ""never generate as much energy as was invested building it.""",Facebook posts,"April 12, 2019",false
122,Ciara O'Rourke,"""The day Al Gore was born, there were 130,000 glaciers on earth. Today, only 130,000 remain.""",Viral image,"April 2, 2019",false
123,Ciara O'Rourke,"Bluegill fish ""are responsible for over 500 deaths in the United States every summer.""",Viral image,"April 1, 2019",pants-fire
124,Colin Meyn,"""It is a carbon tax whether it is convenient to say it or not.""",Scott Beck,"March 29, 2019",barely-true
125,Ciara O'Rourke,"""President Trump signed legislation to clean up millions of tons of trash from our oceans and lakes last week.""",Viral image,"March 27, 2019",false
126,John Kruzel,"""We have flown a Boeing 737 across the Atlantic Ocean on biofuels. We have flown F-18s.""",Jay Inslee,"March 21, 2019",mostly-true
127,Jon Greenberg,"""Seismic airgun blasting (used for energy exploration) is ... 16,000 times louder than"" a conventional airhorn.",Joe Cunningham,"March 15, 2019",mostly-true
128,Tom Kertscher,"""At $93 trillion, the Green New Deal would cost more than the entire recorded spending of the U.S. since the Constitution went into effect in 1789.""",Joni Ernst,"March 12, 2019",false
129,Tom Kertscher,"""The forest fires were so grotesque last year that we had the worst air in the world in Washington.""",Jay Inslee,"March 8, 2019",mostly-true
130,Amy Sherman,"The Democrats’ Green New Deal includes ""working towards ending air travel.""",Rick Scott,"February 28, 2019",false
131,Ciara O'Rourke,"Says Hillary Clinton said, ""This planet might be able to support perhaps as many as half of a billion people who could live a sustainable life in relative comfort. Human populations must be greatly diminished, and as quickly as possible to limit further environmental damage.""",Viral image,"February 26, 2019",pants-fire
132,Warren Fiske,"""Our country has succeeded in reducing greenhouse emissions in previous years.""",Morgan Griffith,"February 26, 2019",half-true
133,Chris Nichols,"""More than a million Californians"" do not have ""clean water to bathe in or drink.""",Gavin Newsom,"February 14, 2019",true
134,Ciara O'Rourke,"Trump signed a bill ""to clean millions of tons of garbage from world’s oceans.""",Bloggers,"February 11, 2019",half-true
135,Chris Nichols,"California’s deadly wildfires ""would never happen"" with ""proper Forest Management.""",Donald Trump,"January 9, 2019",false
136,John Kruzel,"""We need to also recognize that we just had two of the coldest years, biggest drop in global temperatures that we have had since the 1980s, the biggest in the last 100 years. We don't talk about that.""",Danielle Pletka,"November 28, 2018",false
137,Chris Nichols,"""There is no reason for these massive, deadly and costly forest fires in California except that forest management is so poor.""",Donald Trump,"November 12, 2018",false
138,Joseph Kennedy,"Says Joe Manchin ""supported Obama and Clinton's campaigns to kill coal jobs.""",Patrick Morrisey,"November 5, 2018",false
139,Miriam Valverde,"""Intensifying Hurricane Willa headed directly toward 10,000 migrant caravan path.""",Bloggers,"October 23, 2018",false
140,W. Gardner,"Says 60 percent of Austin’s ""waterways are found to be contaminated with fecal matter and deemed unsafe to swim.""",Alexander Strenger,"• October 16,",half-true
141,Anja Martin,"Says he ""beat (President Barack) Obama at the Supreme Court, saving coal jobs.""",Patrick Morrisey,"September 20, 2018",mostly-true
142,Jamie Green,"""According to SCUBA divers, Summersville Lake is the clearest freshwater lake east of the Mississippi River.""",Jim Justice,"September 13, 2018",barely-true
143,Chris Nichols,"Studies are showing California’s wildfires ""are producing more emissions than all of our cars are doing.""",Kevin McCarthy,"August 29, 2018",half-true
